fold,box_map50_95,box_map50,seg_map50_95,seg_map50
1,0.9812547571907826,0.995,0.9838583934169278,0.995
2,0.9601080303484079,0.9931904761904762,0.9711858957771786,0.9931904761904762
3,0.8846197585495613,0.9675664530156931,0.9443416193884895,0.9675664530156931
4,0.9551578644999881,0.9839893684746626,0.958076892452515,0.9839893684746626
5,0.8833737715005207,0.9575611211119395,0.8747163435120534,0.9575611211119395
